Time, Car_Saar_AI (41), Car_Saar_AI (42), Car_Saar_AI (43), Car_Saar_AI (44), Car_Saar_AI (45), Car_Saar_AI (46), Car_Saar_AI (47), Car_Saar_AI (48), Car_Saar_AI (49), Car_Saar_AI (50), Car_Saar_AI (51), Car_Saar_AI (52), Car_Saar_AI (53), Car_Saar_AI (54), Car_Saar_AI (55), Car_Saar_AI (56), Car_Saar_AI (57), Car_Saar_AI (58), Car_Saar_AI (59), Car_Saar_AI (60), 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.5049716, -0.01396517, -0.01385624, -0.01396506, -0.01445733, 0.05123697, -0.005532806, -0.005507092, -0.005519909, -0.005494225, 0.1019223, 0.002783327, -0.002696117, 0.002727371, -0.004306213, 0.1489754, -0.007503417, -0.007393065, -0.007448644, -0.007338425, 0.09997787, 
1.006657, -0.0006450298, 0.002915811, -0.001739586, 7.454477E-05, 0.9427146, 0.003030234, 0.003086388, 0.00303254, 0.001572566, 1.070522, 0.01033053, -0.0008521586, 0.01011662, 0.01374847, 1.182706, -0.001083856, -0.0008305037, -0.000963487, 0.02379178, 1.062252, 
1.507183, 0.0197235, 0.002244531, 0.002304682, 0.2031721, 3.206046, 0.01605569, 0.009117956, 0.0160307, 0.2318176, 3.438074, 0.02345159, -0.006415952, 0.02313389, 0.2924394, 3.628658, 0.01054257, 0.004861132, 0.01070027, 0.3381046, 3.416953, 
2.002405, 0.03037205, 0.02889205, 0.0191442, 1.121182, 7.070893, 0.02078983, 0.02919671, 0.02171665, 1.240639, 7.403812, 0.03354046, 0.02092565, 0.03393004, 1.39409, 7.668216, 0.02100537, 0.009221207, 0.02454019, 1.361549, 7.370754, 
2.508885, 0.03340127, 0.2540862, 0.01772468, 3.356521, 12.28248, 0.02534733, 0.2924478, 0.03115976, 3.680195, 12.67689, 0.04525727, 0.3309394, 0.04202423, 3.879395, 12.98505, 0.03205781, 0.2954642, 0.02969197, 3.771403, 12.63626, 
3.005143, 0.04113115, 1.198397, 0.03775204, 7.188307, 18.10073, 0.0264835, 1.362444, 0.05326282, 7.711195, 18.52959, 0.05561136, 1.483866, 0.07277097, 7.949257, 18.86221, 0.04903116, 1.425736, 0.04238484, 7.773755, 18.4847, 
3.506401, 0.04940176, 3.441572, 0.2681198, 12.31407, 24.38503, 0.03023106, 3.804066, 0.3580528, 12.95684, 24.83378, 0.05965499, 4.065292, 0.4062998, 13.21745, 25.18056, 0.06125724, 3.977944, 0.3402078, 13.00196, 24.78645, 
4.003689, 0.08786589, 7.307818, 1.259892, 18.12362, 30.85142, 0.06507941, 7.860302, 1.546958, 18.83458, 31.31142, 0.1114628, 8.248558, 1.645562, 19.10796, 31.6662, 0.07395584, 8.132809, 1.573222, 18.86976, 31.2627, 
4.502376, 0.3720878, 12.42509, 3.545611, 24.36434, 37.46796, 0.4055176, 13.09081, 4.072666, 25.11437, 37.93439, 0.5256597, 13.55266, 4.313641, 25.39509, 38.29372, 0.4604192, 13.42036, 4.257213, 25.14385, 37.88486, 
5.001108, 1.493896, 18.26074, 7.47468, 30.8427, 44.16019, 1.592301, 18.99145, 8.228819, 31.61502, 44.63026, 1.818063, 19.49548, 8.592507, 31.89992, 44.99216, 1.763546, 19.35369, 8.550695, 31.64125, 44.58029, 
5.505096, 4.036769, 24.57479, 12.6824, 37.52626, 50.9661, 4.212398, 25.34295, 13.5715, 38.31134, 51.43827, 4.571072, 25.87126, 14.00616, 38.59864, 51.80164, 4.553218, 25.724, 13.97282, 38.33572, 51.38805, 
6.004158, 8.193216, 31.06233, 18.54523, 44.22133, 57.72968, 8.437984, 31.85156, 19.51078, 45.01357, 58.20301, 8.907488, 32.39352, 19.98556, 45.30221, 58.5392, 8.919347, 32.24319, 19.95702, 45.0369, 58.15266, 
6.50857, 13.53868, 37.75435, 24.87818, 51.03209, 64.57962, 13.82452, 38.55566, 25.88778, 51.82842, 65.05362, 14.35783, 39.10545, 26.38563, 52.11781, 65.15493, 14.38689, 38.95335, 26.35986, 51.85115, 65.00317, 
7.007528, 19.47692, 44.44976, 31.37244, 57.79382, 71.29936, 19.78601, 45.25782, 32.40675, 58.59245, 71.78253, 20.35528, 45.81197, 32.91755, 58.88227, 72.29034, 20.39404, 45.65891, 32.89333, 58.61483, 71.78705, 
7.505283, 25.76835, 51.17143, 37.98018, 64.55302, 77.85538, 26.09072, 51.98331, 39.02851, 65.35294, 78.04566, 26.68046, 52.53994, 39.54665, 65.64287, 79.34232, 26.72474, 52.38633, 39.5233, 65.37514, 78.55885, 
