Time, Car_Saar_AI (41), Car_Saar_AI (42), Car_Saar_AI (43), Car_Saar_AI (44), Car_Saar_AI (45), Car_Saar_AI (46), Car_Saar_AI (47), Car_Saar_AI (48), Car_Saar_AI (49), Car_Saar_AI (50), Car_Saar_AI (51), Car_Saar_AI (52), Car_Saar_AI (53), Car_Saar_AI (54), Car_Saar_AI (55), Car_Saar_AI (56), Car_Saar_AI (57), Car_Saar_AI (58), Car_Saar_AI (59), Car_Saar_AI (60), 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.5010018, -0.006636661, -0.006516889, -0.006576858, -0.006456719, 0.09815056, -0.004846202, -0.004746201, -0.004796257, -0.005744076, 0.0995614, 0.002864012, 0.002721198, 0.002773514, -0.003752538, 0.146483, -0.007526373, -0.007421294, -0.007474113, -0.007368816, 0.09705699, 
1.005024, 0.0009049292, 0.001109818, 0.001013331, -0.0001949454, 1.062424, 0.004460956, 0.004618202, 0.004555618, 0.006184634, 1.070694, 0.01060132, 0.01018529, 0.01038573, 0.006718715, 1.179361, -0.00105136, -0.0008152492, -0.0009354774, 0.01314833, 1.05821, 
1.505216, 0.01325951, 0.007759691, 0.01339001, 0.2549839, 3.415764, 0.01760874, 0.01457789, 0.0177062, 0.2787586, 3.440357, 0.02389874, 0.01360703, 0.02354976, 0.2793232, 3.617929, 0.01054816, 0.005574283, 0.01070619, 0.2826172, 3.405636, 
2.006514, 0.02033369, 0.02698262, 0.02208045, 1.316599, 7.422901, 0.02385124, 0.03478815, 0.02402241, 1.361472, 7.46266, 0.03318024, 0.03549768, 0.03359227, 1.363833, 7.706241, 0.02131693, -0.01570699, 0.02654367, 1.330663, 7.407165, 
2.502313, 0.03515767, 0.331451, 0.034403, 3.710385, 12.57949, 0.02108808, 0.3095925, 0.03042886, 3.741635, 12.62864, 0.04487366, 0.3175953, 0.04133452, 3.768159, 12.90972, 0.03298585, 0.2378638, 0.03213671, 3.710315, 12.56032, 
3.002985, 0.04281572, 1.532354, 0.06244323, 7.772019, 18.47636, 0.0188687, 1.382884, 0.04602954, 7.790007, 18.53098, 0.05610821, 1.448123, 0.06738147, 7.839566, 18.83377, 0.05230553, 1.412042, 0.063385, 7.758458, 18.4552, 
3.500007, 0.04645684, 4.128021, 0.4640842, 12.97135, 24.72334, 0.01862418, 3.766223, 0.3582993, 12.98227, 24.78107, 0.06197589, 3.909214, 0.3820033, 13.04447, 25.09618, 0.05157093, 3.978179, 0.4237551, 12.94974, 24.70104, 
4.008908, 0.0924016, 8.446738, 1.796086, 18.98881, 31.35115, 0.04589374, 7.887742, 1.546409, 18.99563, 31.41068, 0.0934497, 8.109771, 1.56126, 19.06515, 31.73295, 0.09658973, 8.276809, 1.750603, 18.9625, 31.32819, 
4.500451, 0.4962219, 13.70037, 4.468251, 25.18151, 37.87914, 0.390894, 13.03171, 4.084102, 25.18608, 37.93966, 0.4624569, 13.29724, 4.092281, 25.25964, 38.26584, 0.5162819, 13.5191, 4.449298, 25.15261, 37.85582, 
5.003095, 1.874786, 19.7045, 8.816905, 31.73472, 44.62743, 1.621133, 18.97157, 8.318335, 31.73798, 44.68853, 1.800703, 19.26255, 8.319538, 31.81389, 45.01698, 1.893443, 19.51656, 8.822562, 31.70431, 44.60391, 
5.509941, 4.794645, 26.12713, 14.28902, 38.47069, 51.47425, 4.34102, 25.35747, 13.72519, 38.47322, 51.53568, 4.616123, 25.663, 13.72135, 38.55045, 51.8654, 4.793999, 25.93538, 14.30874, 38.43943, 51.45059, 
6.019998, 9.132512, 32.48649, 20.12866, 45.00053, 58.06423, 8.522799, 31.6968, 19.52912, 45.00267, 58.12584, 8.869744, 32.01025, 19.52242, 45.0806, 58.45627, 9.11552, 32.29266, 20.15607, 44.9688, 58.0405, 
