Distance Along Path,Time,Speed,Throttle Input,Break Input,Steering Steer Wheel Input,Deviation From Path
3.814697E-06,0,1.508008E-07,0,0,0,4.999989
0.01662445,0.1059081,0.3305056,1,0,1,4.992205
0.06665421,0.2068567,0.7091112,1,0,1,4.955654
0.1465492,0.3017034,1.091563,1,0,1,4.89689
0.2683048,0.4066086,1.472617,1,0,1,4.800664
0.4099617,0.5060224,1.847498,1,0,1,4.67465
0.5622978,0.6008963,2.215222,1,0,1,4.517853
0.7406921,0.7057968,2.599452,1,0,1,4.296408
0.9084816,0.8056573,2.98527,1,0,1,4.033336
1.058193,0.9040416,3.381593,1,0,1,3.719455
1.17453,1.000234,3.790818,1,0,1,3.357608
1.246725,1.103845,4.250534,1,0,1,2.907223
1.24481,1.201716,4.726115,1,0,1,2.429767
1.150097,1.302481,5.28074,1,0,0.9430231,1.896112
0.9890518,1.401619,6.44768,1,0,0.4762957,1.317248
0.8421135,1.504267,7.313473,1,0,-0.07006589,0.6239401
0.7897759,1.60443,7.779953,1,0,-0.6408589,0.131207
0.9286518,1.705507,7.962452,1,0,-1,0.9256945
1.28231,1.806893,8.6104,1,0,-1,1.71121
1.806116,1.905831,9.276823,1,0,-1,2.449672
2.46958,2.000401,9.90168,1,0,-1,3.091954
3.385294,2.107398,9.972404,1,0,-1,3.681684
4.303391,2.203892,9.955927,1,0,-1,4.032161
5.286938,2.302094,9.947058,1,0,-1,4.192102
6.303421,2.40207,9.947142,1,0,-1,4.147202
7.285952,2.501696,9.942286,1,0,-1,3.897656
8.197399,2.601352,9.934765,1,0,-1,3.45519
9.035624,2.706049,9.946907,1,0,-1,2.802022
9.656549,2.800492,9.977617,1,0,-0.8637509,2.071147
10.23438,2.903995,10.2429,0,0,-0.2315261,1.187515
10.80078,3.000979,10.20666,0,0,0.3030263,0.37041
11.50885,3.105065,9.935217,1,0,0.7523493,0.4108007
12.32787,3.204732,10.01774,0,0,1,0.9931846
13.2349,3.301428,10.02025,0,0,1,1.375116
14.26898,3.405049,10.0261,0,0,1,1.576342
15.26468,3.502776,10.03381,0,0,1,1.562652
16.24278,3.600668,10.06584,0,0,0.7591459,1.365209
17.2141,3.701083,10.1702,0,0,0.4740579,1.040917
18.20075,3.805155,10.22895,0,0,0.178852,0.643409
19.11198,3.901257,10.22426,0,0,-0.06262523,0.2758265
20.10925,4.004889,10.17845,0,0,-0.2645238,0.07566071
21.04463,4.100141,10.11988,0,0,-0.3810696,0.3272526
