Average Speed,Average Throttle,Average Break,Average Steering,Average Deviation, , 
9.297079,0.2777778,0,0.03541573,1.160743

Distance Along Path,Time,Speed,Throttle Input,Break Input,Steering Steer Wheel Input,Deviation From Path
0,0,1.502353E-07,0,0,0,0
0.02043428,0.1071102,0.43902,1,0,0.01229194,0.002227589
0.08156781,0.202725,0.8908222,1,0,0.02360409,0.005387499
0.1889203,0.3017603,1.352165,1,0,0.03475705,0.01057625
0.3458969,0.4029,1.825727,1,0,0.0449153,0.01734133
0.5503529,0.5033197,2.314997,1,0,0.05280698,0.02475853
0.8134308,0.6067318,2.824754,1,0,0.05786242,0.03223969
1.117002,0.7056303,3.361015,1,0,0.05894617,0.0383983
1.477056,0.8052083,3.930508,1,0,0.05601908,0.04291788
1.891558,0.9039655,4.539025,1,0,0.04968683,0.0452393
2.378573,1.004915,5.18772,1,0,0.04063133,0.04515229
2.933439,1.105874,5.869087,1,0,0.03015943,0.0426462
3.530778,1.20257,6.567904,1,0,0.09536438,0.03833304
4.236179,1.305257,7.254894,1,0,0.168992,0.01595607
5.01901,1.408785,7.943319,1,0,0.1981668,0.04611148
5.821565,1.506426,8.639037,1,0,0.1953714,0.1454151
6.706235,1.606335,9.338539,1,0,0.1690614,0.2888377
7.626981,1.703454,10.03735,0,0,0.1320158,0.4666861
8.615602,1.804205,10.02797,0,0,0.05323522,0.6782773
9.597437,1.904493,10.01469,0,0,0.008940727,0.8930402
10.54018,2.000871,10.00014,0,0,-0.01163115,1.096997
12.12659,2.106302,10.12576,0,0,0.06583697,0.9977207
13.06933,2.202288,10.10179,0,0,0.1205582,0.7654009
14.07026,2.303615,10.07933,0,0,0.1527322,0.5549536
15.0891,2.406215,10.05917,0,0,0.1583693,0.3808594
16.07071,2.504699,10.04282,0,0,0.1448474,0.2494745
17.0627,2.604021,10.02836,0,0,0.1247086,0.1476078
18.03589,2.701393,10.01373,0,0,0.09843451,0.07194614
19.08381,2.80626,10,0,0,0.08154998,0.0118084
20.09404,2.90649,10.12697,0,0,0.06335595,0.02994919
21.08677,3.004622,10.11225,0,0,0.04769325,0.05878067
22.06651,3.101587,10.09748,0,0,0.03515979,0.07812214
23.07663,3.201691,10.08263,0,0,0.02515506,0.09104443
24.06849,3.300123,10.06773,0,0,0.01802776,0.09868526
25.13573,3.406197,10.05273,0,0,0.01309981,0.1031408
26.10044,3.502224,10.03765,0,0,0.008984247,0.1049814
27.14147,3.606004,10.02258,0,0,0.006221893,0.1054268
28.08521,3.700227,10.00757,0,0,0.004044647,0.1048784
29.14101,3.805437,10.13351,0,0,0.1740681,0.1032267
30.12031,3.902369,10.08769,0,0,0.2384552,0.06535244
31.12162,4.002274,10.04549,0,0,0.2898067,0.03677177
32.15196,4.106459,10.00573,0,0,0.3294549,0.218112
33.09635,4.203104,10.08403,0,0,0.3487621,0.4640656
34.0414,4.302413,10.06445,0,0,0.3355401,0.8017673
34.95314,4.401494,10.01829,0,0,0.3750765,1.209278
35.85473,4.505131,10.06556,0,0,0.713514,1.730583
36.59393,4.600135,9.939389,1,0,0.7640432,2.338709
50.1097,4.706876,10.05136,0,0,1,1.801604
49.68579,4.805163,10.04699,0,0,1,0.8972635
49.45286,4.903068,10.04002,0,0,1,0.07058692
49.42256,5.006929,10.05369,0,0,1,1.126152
49.61753,5.111418,10.06656,0,0,1,2.169559
49.97298,5.204125,10.0341,0,0,1,3.040657
50.54396,5.305449,10.03706,0,0,1,3.895617
51.26476,5.404888,10.03338,0,0,1,4.601556
52.11769,5.504754,10.03055,0,0,1,5.148465
53.03036,5.601254,10.03622,0,0,0.9345174,5.501994
54.0374,5.701791,10.05302,0,0,0.7950431,5.692406
55.07906,5.804412,10.06678,0,0,0.6656486,5.729327
56.06777,5.902352,10.06889,0,0,0.5550475,5.640782
57.05362,6.001573,10.07717,0,0,0.4519945,5.449869
58.07152,6.106208,10.08444,0,0,0.3555351,5.161787
58.9958,6.204075,9.82545,1,0,1,4.819993
59.84986,6.306851,9.980438,1,0,0.9518574,4.23679
60.56881,6.40374,10.34173,0,0,-0.1008512,3.550618
61.3669,6.502495,10.1855,0,0,-0.4950182,2.921093
62.27236,6.604771,9.982261,1,0,-0.7345246,2.416523
63.2159,6.70332,9.991884,1,0,-0.9019693,2.107932
64.1945,6.800258,10.00623,0,0,-0.7539034,2.006997
65.23236,6.901824,10.17317,0,0,-0.473378,2.057956
66.25778,7.002531,10.22847,0,0,-0.2779688,2.18781
67.25227,7.10091,10.23583,0,0,-0.1592412,2.356176
68.31504,7.206747,10.22349,0,0,-0.08129659,2.560414
73.94192,7.306803,10.20553,0,0,-0.1643584,1.864476
74.17084,7.403944,10.16359,0,0,-0.222898,0.9030457
74.46332,7.503921,10.13811,0,0,-0.2425634,0.06931114
74.82073,7.606577,10.12543,0,0,-0.2270573,1.047708
77.78513,7.700447,10.01204,0,0,-0.4352968,1.454082
78.82394,7.806009,10.14629,0,0,-0.1211926,1.211325
79.81261,7.906129,10.13442,0,0,-0.06499678,0.9776751
80.80288,8.006844,10.11513,0,0,-0.07201941,0.7349094
81.76028,8.104828,10.09307,0,0,-0.1202948,0.4835728
82.69816,8.201925,10.06058,0,0,-0.2084885,0.2038171
83.6582,8.303741,10.00142,0,0,-0.3892431,0.1488845
84.53185,8.400838,9.964337,1,0,-0.5228043,0.5838632
85.37755,8.506927,9.977712,1,0,-1,1.24623
97.48215,8.601745,9.96802,1,0,-1,1.821704
97.6453,8.701309,9.970584,1,0,-1,0.8240417
98.03824,8.806979,9.99825,1,0,-1,0.1750471
98.57395,8.902987,9.984504,1,0,-1,0.9906409
99.28542,9.002314,9.980335,1,0,-1,1.705978
100.1301,9.10198,9.97617,1,0,-1,2.262626
101.1175,9.206189,9.992774,1,0,-1,2.647675
102.1028,9.304414,9.9824,1,0,-1,2.811027
103.1723,9.409803,9.998564,1,0,-1,2.762671
104.0963,9.503632,9.972033,1,0,-1,2.527483
105.0023,9.602613,9.966003,1,0,-0.8344096,2.091903
105.8683,9.705041,10.3577,0,0,-0.2546024,1.496295
106.703,9.802427,10.37678,0,0,0.04075106,0.9256746
107.5717,9.901224,10.33846,0,0,0.1902734,0.3834523
108.4933,10.00288,10.31543,0,0,0.175237,0.1258698
109.5006,10.10077,10.30566,0,0,0.1276085,0.046978
110.5991,10.20751,10.29503,0,0,-0.007267566,0.0116787
111.5808,10.30313,10.27327,0,0,-0.1166746,0.0752449
112.5962,10.40265,10.23807,0,0,-0.2199172,0.181777
113.5883,10.50102,10.18643,0,0,-0.3242486,0.3481493
114.5908,10.60287,10.10212,0,0,-0.4641971,0.6097422
115.5148,10.70131,10.0633,0,0,-0.6903092,0.9743738
116.3704,10.80084,10.14504,0,0,-0.2989174,1.506781
117.2635,10.90736,10.29654,0,0,0.1104431,2.14291
128.1034,11.00146,9.896725,1,0,1,1.504755
127.6311,11.10155,10.05314,0,0,1,0.6175389
126.9374,11.20553,10.00264,0,0,0.7464473,0.1844929
130.9766,11.30436,10.18122,0,0,0.2697062,0.4122359
131.9814,11.40387,10.17869,0,0,0.2439728,0.2490267
132.968,11.50132,10.16779,0,0,0.1829416,0.1329804
133.9887,11.60212,10.15098,0,0,0.1331429,0.04685614
134.9946,11.70155,10.13524,0,0,0.09685708,0.01152396
136.0486,11.80578,10.12318,0,0,0.07098752,0.05060738
137.0111,11.90096,10.11337,0,0,0.04836529,0.07162274
138.0524,12.00395,10.10346,0,0,0.03278446,0.08354009
139.0411,12.10178,10.09095,0,0,0.02135817,0.08893795
140.0513,12.20189,10.07548,0,0,0.01430677,0.09168641
141.1357,12.30957,10.058,0,0,0.009545649,0.0932754
142.0533,12.40089,10.04025,0,0,0.005752117,0.09372158
143.0541,12.50068,10.02374,0,0,0.003468608,0.09307131
