Average Speed,Average Throttle,Average Break,Average Steering,Average Deviation, , 
9.363155,0.3768116,0,0.03765887,1.007042

Distance Along Path,Time,Speed,Throttle Input,Break Input,Steering Steer Wheel Input,Deviation From Path
0,0,1.502353E-07,0,0,0,0
0.0215114,0.1095693,0.4390272,1,0,0.01239234,0.002288578
0.07923637,0.2001044,0.8908289,1,0,0.02353432,0.005275331
0.1915993,0.3037442,1.35217,1,0,0.03492182,0.0107268
0.3484872,0.4043194,1.825731,1,0,0.04506,0.01747269
0.5448242,0.5009351,2.314988,1,0,0.05263825,0.02461906
0.8076585,0.604689,2.824757,1,0,0.05784762,0.03213733
1.108595,0.7031289,3.360993,1,0,0.05878231,0.03830276
1.478027,0.8054561,3.930516,1,0,0.05609887,0.04296181
1.879543,0.9013181,4.539008,1,0,0.04967812,0.04525081
2.389552,1.007032,5.187738,1,0,0.04063321,0.04515869
2.904857,1.101005,5.86907,1,0,0.03033039,0.04285561
3.589308,1.21148,6.567933,1,0,0.01960307,0.03788437
4.22359,1.303397,7.268829,1,0,0.01073158,0.0324329
4.960402,1.400823,7.967644,1,0,0.003782763,0.02589343
5.830588,1.506036,8.653463,1,0,0.1544642,0.01383255
6.726813,1.606163,9.328866,1,0,0.2372994,0.04309104
7.62976,1.70059,10.01288,0,0,0.2570721,0.1510219
8.661932,1.805167,10.00319,0,0,0.1886275,0.3295096
9.638687,1.904614,10.13593,0,0,0.1513704,0.5365261
10.5875,2.000893,10.12357,0,0,0.10073,0.7641386
11.99263,2.102013,10.10987,0,0,0.1162471,0.7347383
13.03224,2.206731,10.0883,0,0,0.1465248,0.539732
14.00432,2.304297,10.06762,0,0,0.1340461,0.3900394
14.9852,2.402495,10.05218,0,0,0.1241799,0.2697258
16.0239,2.506329,10.03806,0,0,0.1100528,0.1716347
16.98844,2.602705,10.02387,0,0,0.08909567,0.1025467
18.03075,2.706883,10.00982,0,0,0.0721302,0.04689026
19.00266,2.804049,10.13694,0,0,0.05648187,0.008630753
19.98889,2.901432,10.12186,0,0,0.04246424,0.01957226
20.99029,3.000447,10.10664,0,0,0.03186684,0.04002857
22.0188,3.102287,10.0915,0,0,0.02410035,0.05428123
23.05685,3.205225,10.07646,0,0,0.01778729,0.06343937
24.01205,3.300082,10.0615,0,0,0.01240705,0.06848907
25.05832,3.404134,10.04659,0,0,0.008870753,0.07144928
26.02151,3.500064,10.03164,0,0,0.006139159,0.0726223
27.03297,3.60095,10.01666,0,0,0.004199292,0.07284069
28.08837,3.706383,10.00165,0,0,0.002852667,0.07235336
29.0609,3.802795,10.12803,0,0,0.001854832,0.07145405
30.07,3.902495,10.11264,0,0,0.001118911,0.07019234
31.16311,4.010667,10.09735,0,0,0.000616625,0.06854439
32.08721,4.102252,10.08216,0,0,0.0002934067,0.06702137
33.1091,4.203673,10.06705,0,0,7.142406E-05,0.06528854
34.07899,4.300076,10.05014,0,0,0.1780686,0.06365967
35.09519,4.401393,10.1042,0,0,0.4589318,0.01048756
36.09835,4.502583,10.11461,0,0,0.6445613,0.1633015
37.08296,4.605361,10.10038,0,0,0.7579054,0.4954338
37.92755,4.700047,10.06786,0,0,0.7327869,0.9496813
38.73774,4.801486,9.971231,1,0,0.7075858,1.58332
43.53171,4.903111,9.97702,1,0,1,1.761961
44.43163,5.004062,9.985814,1,0,1,1.266949
47.14901,5.105416,9.985239,1,0,1,0.7651529
47.06057,5.202136,9.974448,1,0,1,0.214597
47.18114,5.304874,9.979581,1,0,1,1.24906
47.50589,5.40539,9.97824,1,0,1,2.21449
48.0027,5.502614,9.96674,1,0,1,3.068295
48.6803,5.602673,9.962908,1,0,1,3.825232
49.56305,5.710063,9.987947,1,0,1,4.463695
