Time, Car_Saar_AI (41), Car_Saar_AI (42), Car_Saar_AI (43), Car_Saar_AI (44), Car_Saar_AI (45), Car_Saar_AI (46), Car_Saar_AI (47), Car_Saar_AI (48), Car_Saar_AI (49), Car_Saar_AI (50), Car_Saar_AI (51), Car_Saar_AI (52), Car_Saar_AI (53), Car_Saar_AI (54), Car_Saar_AI (55), Car_Saar_AI (56), Car_Saar_AI (57), Car_Saar_AI (58), Car_Saar_AI (59), Car_Saar_AI (60), 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.5037254, -0.01239728, -0.01210335, -0.01239728, -0.01331402, 0.04746918, -0.005793147, -0.005792943, -0.005792949, -0.007297117, 0.1012433, 0.004905588, 0.004903608, 0.004904743, 0.004905268, 0.1123085, -0.01330676, -0.01236164, -0.01223486, -0.01301018, 0.04751275, 
1.000521, 0.01039259, 0.0115792, 0.01252878, -0.005632595, 0.9206582, 0.002384662, 0.002413819, 0.002384898, 0.0003607085, 1.049311, 0.0152725, 0.01521848, 0.01523899, 0.00927297, 1.062481, 0.008068452, 0.01292422, 0.01274895, 0.002057337, 0.9209388, 
1.500283, 0.01414851, 0.0246262, 0.0154775, 0.2209708, 3.160435, 0.01513418, 0.009279547, 0.01513226, 0.2480299, 3.389787, 0.02220489, 0.02084327, 0.02211531, 0.2665177, 3.405133, 0.01814488, 0.03028131, 0.03166325, 0.2270165, 3.161116, 
2.001405, 0.02217393, 0.04187612, 0.01372681, 1.205336, 7.057415, 0.01986272, 0.02554272, 0.0216387, 1.272756, 7.386169, 0.0320473, 0.04746865, 0.03189773, 1.348505, 7.403337, 0.0128113, 0.04126123, 0.04180333, 1.224705, 7.058425, 
2.505736, 0.03521995, 0.3308411, 0.02091171, 3.490872, 12.24265, 0.0267497, 0.3056102, 0.03737486, 3.719126, 12.63093, 0.04039354, 0.3618388, 0.03935604, 3.827377, 12.64907, 0.03234318, 0.2940888, 0.04523959, 3.609654, 12.24385, 
3.010928, 0.04267053, 1.390911, 0.03394834, 7.459176, 18.16434, 0.0380629, 1.46322, 0.06339212, 7.842939, 18.58666, 0.05025733, 1.513069, 0.04991549, 7.979986, 18.60534, 0.04864244, 1.363328, 0.0654437, 7.675178, 18.16564, 
3.5139, 0.06054531, 3.789258, 0.3389427, 12.65796, 24.47452, 0.04944712, 4.061505, 0.3642485, 13.13278, 24.91606, 0.05675711, 4.030836, 0.3796817, 13.28642, 24.93505, 0.04752941, 3.782881, 0.3735831, 12.93082, 24.47587, 
4.001868, 0.1095231, 7.717937, 1.413991, 18.38773, 30.82157, 0.06576502, 8.168534, 1.520437, 18.91329, 31.27375, 0.09148028, 8.067314, 1.539051, 19.07615, 31.29292, 0.07933839, 7.730455, 1.535014, 18.69226, 30.82296, 
4.506814, 0.4455228, 12.9789, 3.927093, 24.72286, 37.52191, 0.4051614, 13.53771, 4.122309, 25.27849, 37.98035, 0.4421314, 13.39403, 4.134301, 25.44684, 37.99963, 0.4011083, 13.00291, 4.136799, 25.04617, 37.5233, 
5.00685, 1.696429, 18.87792, 8.062135, 31.22823, 44.23235, 1.630061, 19.49801, 8.336655, 31.80079, 44.69431, 1.711361, 19.33031, 8.342365, 31.97222, 44.71365, 1.590795, 18.90843, 8.350431, 31.56211, 44.23376, 
5.500724, 4.352688, 25.09006, 13.27172, 37.78254, 50.90184, 4.200947, 25.74479, 13.59228, 38.36461, 51.36576, 4.372767, 25.56351, 13.59437, 38.53777, 51.38515, 4.170278, 25.12425, 13.60518, 38.12236, 50.90326, 
6.00237, 8.660239, 31.62358, 19.22105, 44.51444, 57.70034, 8.436833, 32.29844, 19.56854, 45.10202, 58.16541, 8.687164, 32.10927, 19.56853, 45.27618, 58.18481, 8.41281, 31.6599, 19.5809, 44.85769, 57.70176, 
6.506335, 14.07888, 38.31706, 25.58151, 51.3205, 64.54416, 13.81465, 39.00336, 25.94439, 51.9112, 65.00989, 14.11023, 38.80973, 25.94319, 52.08593, 65.02929, 13.7939, 38.35458, 25.95643, 51.66568, 64.54558, 
7.007092, 20.08248, 45.04073, 32.11776, 58.10735, 71.3522, 19.79515, 45.73345, 32.48933, 58.69978, 71.81754, 20.1164, 45.53732, 32.48746, 58.87486, 71.83772, 19.7762, 45.07895, 32.50118, 58.45362, 71.35362, 
7.503822, 26.38525, 51.75082, 38.72217, 64.85307, 77.19792, 26.08484, 52.44718, 39.09865, 65.44649, 76.98614, 26.42064, 52.24964, 39.09641, 65.62172, 77.17881, 26.06688, 51.78942, 39.11039, 65.19994, 76.98063, 
8.003761, 32.92887, 58.52744, 45.43846, 71.65003, 82.92902, 32.62096, 59.22587, 45.81775, 72.24402, 82.62781, 32.96512, 59.02752, 45.81529, 72.41933, 82.84391, 32.60358, 58.56626, 45.82941, 71.99726, 82.79026, 
8.509903, 39.66986, 65.40156, 52.27811, 78.47959, 88.63341, 39.35767, 66.10115, 52.659, 78.59025, 88.15234, 39.70662, 65.90237, 52.65643, 78.91293, 88.27068, 39.3406, 65.44048, 52.67062, 78.65887, 88.35509, 
9.005903, 46.33986, 71.98912, 59.00279, 81.8236, 93.55846, 46.02533, 72.84557, 59.38456, 83.61367, 91.74127, 46.3769, 72.64652, 59.38193, 84.12157, 93.31985, 46.00842, 72.18431, 59.39617, 84.36186, 93.38702, 
9.5108, 53.16632, 77.28871, 65.86079, 83.59311, 99.18784, 52.85045, 79.64125, 66.24307, 88.26751, 95.04375, 53.20353, 79.51578, 66.24038, 89.33544, 99.11758, 52.83363, 79.05335, 66.25466, 89.8616, 99.30594, 
10.00884, 59.92069, 80.22145, 72.20345, 84.6918, 105.5097, 59.60406, 84.78693, 73.01528, 92.03057, 99.56704, 59.95799, 84.76257, 73.01257, 93.69704, 105.7584, 59.5873, 84.98765, 73.02686, 94.96017, 106.2601, 
10.50183, 66.59787, 82.06649, 76.62579, 85.75174, 112.0093, 66.30099, 88.80255, 79.68179, 96.42314, 101.7199, 66.6554, 89.39737, 79.7171, 98.61715, 112.5089, 66.28423, 90.59772, 79.73429, 100.3976, 113.1842, 
11.01121, 72.63518, 83.75613, 79.48808, 87.07035, 118.8195, 73.22746, 93.23183, 85.79372, 101.8052, 102.7742, 73.58213, 94.35359, 86.50642, 104.73, 119.4661, 73.21069, 95.74526, 86.53558, 107.0414, 120.2224, 
11.51169, 76.70162, 85.32479, 81.72215, 88.1257, 125.5651, 79.896, 96.4161, 88.79751, 107.9568, 102.9282, 80.23912, 98.73482, 89.98941, 111.855, 126.2928, 80.01871, 98.18624, 90.93055, 114.0909, 127.094, 
12.01116, 79.60677, 86.38853, 83.49854, 88.91651, 132.3267, 84.44041, 97.81012, 90.4824, 114.4239, 103.7203, 85.2936, 103.7961, 91.80339, 118.9048, 133.1003, 86.20456, 100.4186, 94.29945, 121.0101, 133.927, 
12.51409, 81.64153, 87.73772, 84.77714, 89.90447, 139.1522, 87.25925, 98.69741, 91.5816, 121.0809, 105.604, 88.39089, 109.9888, 92.97207, 125.8663, 139.9521, 91.07677, 102.6723, 97.44836, 127.9254, 140.7933, 
13.00502, 83.16093, 88.7511, 86.01716, 91.46795, 145.8242, 88.99946, 99.26408, 92.28336, 127.6597, 109.0174, 90.26754, 116.9786, 93.71659, 132.614, 146.6387, 94.63493, 104.584, 100.302, 134.6472, 147.4879, 
13.50668, 84.52708, 89.83662, 87.19476, 93.93533, 152.6474, 90.04547, 99.6457, 92.62319, 134.4287, 113.7763, 91.44995, 124.0137, 94.21419, 139.4811, 153.4704, 97.41546, 106.0501, 102.5176, 141.4995, 154.3242, 
14.01369, 85.78988, 91.21912, 88.4002, 96.67652, 159.5466, 90.50211, 99.89784, 92.67823, 141.297, 117.9425, 92.23516, 131.0196, 94.54082, 146.4056, 160.3744, 99.82451, 107.0525, 106.0592, 148.4153, 161.231, 
