Time, Car_Saar_AI (41), Car_Saar_AI (42), Car_Saar_AI (43), Car_Saar_AI (44), Car_Saar_AI (45), Car_Saar_AI (46), Car_Saar_AI (47), Car_Saar_AI (48), Car_Saar_AI (49), Car_Saar_AI (50), Car_Saar_AI (51), Car_Saar_AI (52), Car_Saar_AI (53), Car_Saar_AI (54), Car_Saar_AI (55), Car_Saar_AI (56), Car_Saar_AI (57), Car_Saar_AI (58), Car_Saar_AI (59), Car_Saar_AI (60), 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.5056768, -0.01345754, -0.01424614, -0.01356357, -0.01345758, 0.04717793, -0.005863153, -0.005863149, -0.005863155, -0.005863145, 0.1025053, 0.005011129, 0.00500876, 0.005010815, 0.005010698, 0.1136195, -0.01821149, -0.01341677, -0.01341634, -0.01341699, 0.04722359, 
1.004822, -0.00389643, -0.004399612, 0.0002212992, 0.0005543409, 0.931891, 0.00235827, 0.002358037, 0.002376534, 0.002405206, 1.062565, 0.01543971, 0.01540737, 0.01540049, 0.0176379, 1.075793, -0.01034665, 0.0004254461, -0.004576076, -0.0005063731, 0.93219, 
1.50704, 0.01714145, 0.01603122, 0.004894918, 0.2495523, 3.199088, 0.01523531, 0.01037774, 0.01527743, 0.2747892, 3.431216, 0.022548, 0.01700516, 0.02235678, 0.2864827, 3.446642, -0.00341944, 0.004741814, 0.01238915, 0.2251971, 3.199826, 
2.008158, 0.03172142, 0.01648386, 0.01069368, 1.208917, 7.11518, 0.02083135, 0.03257921, 0.02052154, 1.337029, 7.446426, 0.03251327, 0.0293382, 0.03220769, 1.355015, 7.463652, 0.0003645923, 0.01535676, 0.0147832, 1.184115, 7.116281, 
2.503969, 0.03278894, 0.2361073, 0.0164018, 3.478753, 12.21735, 0.02884641, 0.2851681, 0.0274556, 3.707381, 12.6071, 0.04161311, 0.3228899, 0.03646808, 3.754244, 12.62527, 0.009158797, 0.2823514, 0.01861802, 3.455982, 12.21865, 
3.004521, 0.03858212, 1.287129, 0.03439166, 7.415492, 18.0808, 0.03182305, 1.401705, 0.04953287, 7.741467, 18.5045, 0.05130421, 1.401072, 0.04828338, 7.80889, 18.52323, 0.02297699, 1.324866, 0.05152126, 7.387169, 18.08224, 
3.505092, 0.04680661, 3.700745, 0.3192032, 12.58307, 24.35563, 0.03282124, 3.897741, 0.3515165, 12.96697, 24.79868, 0.05217482, 3.826465, 0.317003, 13.04645, 24.81773, 0.03457794, 3.688234, 0.3536683, 12.55154, 24.35713, 
4.008969, 0.08714645, 7.793172, 1.432493, 18.50066, 30.90815, 0.05223171, 8.070959, 1.554834, 18.9179, 31.36225, 0.07969436, 7.933534, 1.484617, 19.0043, 31.38148, 0.0481312, 7.736529, 1.517125, 18.4673, 30.90969, 
4.504756, 0.4348571, 12.98575, 3.842431, 24.72367, 37.48684, 0.3961779, 13.31031, 4.152936, 25.15962, 37.94714, 0.4019593, 13.13499, 4.058157, 25.24992, 37.96648, 0.3742398, 12.90365, 4.022521, 24.68927, 37.48841, 
5.0033, 1.628178, 18.87788, 7.898571, 31.20958, 44.17669, 1.597389, 19.22949, 8.380281, 31.65628, 44.64051, 1.582339, 19.03228, 8.263086, 31.74881, 44.65989, 1.576714, 18.78108, 8.164192, 31.17459, 44.17826, 
5.508481, 4.255868, 25.24107, 13.19608, 37.91479, 50.99881, 4.283026, 25.60829, 13.77882, 38.36765, 51.46466, 4.18602, 25.39847, 13.64852, 38.46148, 51.48408, 4.244552, 25.13579, 13.51212, 37.87945, 51.0004, 
6.006207, 8.471121, 31.73052, 19.08728, 44.59525, 57.74438, 8.54812, 32.10649, 19.72693, 45.05155, 58.21135, 8.380912, 31.8896, 19.58927, 45.1461, 58.23079, 8.493195, 31.62049, 19.43171, 44.55973, 57.74597, 
6.509695, 13.84693, 38.42126, 25.43378, 51.3954, 64.5818, 13.95346, 38.80225, 26.10624, 51.85366, 65.04941, 13.7454, 38.5813, 25.96434, 51.94863, 65.06886, 13.88846, 38.30851, 25.79457, 51.35976, 64.5834, 
7.006663, 19.78207, 45.09588, 31.91551, 58.13113, 71.33789, 19.90532, 45.47966, 32.60638, 58.59049, 71.7441, 19.67421, 45.25645, 32.46211, 58.68568, 71.80296, 19.83458, 44.98159, 32.28548, 58.09544, 71.32776, 
7.500501, 26.03453, 51.76786, 38.47841, 64.83766, 77.23171, 26.16732, 52.15322, 39.17971, 65.29763, 77.73085, 25.92309, 51.92873, 39.03411, 65.39297, 77.32226, 26.0933, 51.65268, 38.85357, 64.80192, 77.60926, 
8.015768, 32.77198, 58.75295, 45.39925, 71.79617, 81.37167, 32.91042, 59.13926, 46.10672, 72.30347, 84.2717, 32.65843, 58.91402, 45.9603, 72.3413, 81.16275, 32.83445, 58.63728, 45.77747, 71.80737, 84.3306, 
8.512981, 39.39103, 65.50626, 52.11774, 77.51371, 83.96724, 39.53255, 65.8931, 52.82854, 78.64367, 90.58902, 39.27635, 65.66743, 52.68169, 77.533, 83.56862, 39.45551, 65.39031, 52.49762, 78.34539, 90.7769, 
